Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair;1;all;13;4; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;6; ;0;0;0;0;0;0.006756757;0;0.007692308;0;0;;;;
blocking probabilities per pair;1;all;2;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;15;17; ;0;0;0;0;0;0.007092199;0;0;0;0;;;;
blocking probabilities per pair;1;all;20;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;23; ;0;0;0;0;0;0;0;0;0;0.007407407;;;;
blocking probabilities per pair;1;all;27;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;4;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;17;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;4;28; ;0;0;0;0;0;0;0.007575758;0;0;0;;;;
blocking probabilities per pair;1;all;19;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;20;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;26; ;0;0;0;0;0;0;0;0;0;0;;;;
