Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
External Fragmentation Per Link;1;<12-3>; ;0.4588199013598884;0.4248396103937071;0.42840591379541254;0.4448967045718262;0.44132578996251126;0.4497273380402072;0.45608473995195026;0.4556746213050141;0.4498335534348447;0.4481785012921732;;;;
External Fragmentation Per Link;1;<27-22>; ;0.35629364767740035;0.35763678932026677;0.34885769161968416;0.34167397225645274;0.3244872345989781;0.34225216001752;0.3520277398060343;0.35393210404829023;0.35434840214109775;0.3385265170490018;;;;
External Fragmentation Per Link;1;<22-10>; ;0.19635261265244086;0.23632448372207004;0.19844443504908998;0.2105578302820919;0.21210151310901013;0.22407228676423294;0.19962179258412402;0.20066646609215014;0.20885862613247788;0.21142260504550975;;;;
External Fragmentation Per Link;1;<27-28>; ;0.2684479898913905;0.2688666157191456;0.28760816138814543;0.2458091246041805;0.26042044660327157;0.2736849938359717;0.30271693064488153;0.2503643610983481;0.2653832355537056;0.2909995382154107;;;;
External Fragmentation Per Link;1;<23-24>; ;0.37213991751566255;0.3701340034093808;0.36109844298976673;0.375689321700644;0.3617277446645809;0.3801259946782631;0.39144034429124364;0.3509088211521996;0.35986819564498207;0.3714078813482217;;;;
External Fragmentation Per Link;1;<27-26>; ;0.41445273073900585;0.38090544363261886;0.39381354461026596;0.38750790854877915;0.3730737401707312;0.38617376596073344;0.39718436383510825;0.37822018851520683;0.3947543799154535;0.37979940638631554;;;;
External Fragmentation Per Link;1;<1-2>; ;0.3033448488435723;0.30285853040746;0.27255631130818186;0.3103825521296055;0.31069174277828315;0.29402491490595717;0.29012647581151735;0.2779579218079632;0.2893078101616664;0.29813156533281315;;;;
External Fragmentation Per Link;1;<1-4>; ;0.4385318076204118;0.42071549151315635;0.43798479414316166;0.42461977162261566;0.43497464262635427;0.43967470772360623;0.43094643799043647;0.4212027918649533;0.43460887171204027;0.42606366322426226;;;;
External Fragmentation Per Link;1;<3-2>; ;0.4337727241386913;0.4411694474503579;0.43388974108442446;0.42982468302368576;0.412412213711999;0.4469054362725771;0.4298593052795884;0.43210408712040027;0.43014677659901773;0.4361932373984085;;;;
External Fragmentation Per Link;1;<3-4>; ;0.37813198733094266;0.3791936252479459;0.3947434467762242;0.3747708732628845;0.3586857263039055;0.38143740911337604;0.37582222221956;0.36782156603344796;0.3770381399411537;0.363024664875117;;;;
External Fragmentation Per Link;1;<10-9>; ;0.4128900195335043;0.4020384482255647;0.389792959607519;0.40527943430668834;0.37801999690520444;0.3893071980422488;0.39219031906856555;0.37581755796967997;0.40234514561319173;0.4162008329302549;;;;
External Fragmentation Per Link;1;<5-6>; ;0.5033114490681823;0.47539478692738213;0.49194570011286776;0.47942255032718145;0.4877604602831214;0.4923150414317782;0.46277722109883224;0.48423177661658434;0.47360003144785634;0.4901034862706946;;;;
External Fragmentation Per Link;1;<10-6>; ;0.32977662679830944;0.3183678228875275;0.3246848896268578;0.32162606003530825;0.31922664453759697;0.3144026989725271;0.3156620533237961;0.30864562171882765;0.31613016599873983;0.3028684845612571;;;;
External Fragmentation Per Link;1;<12-4>; ;0.41415545400098147;0.420627599498429;0.43014637078944185;0.4271530329682615;0.433209270072497;0.426147870737878;0.430576167485038;0.41645398108651793;0.4305154741427956;0.424714294611221;;;;
External Fragmentation Per Link;1;<5-7>; ;0.5546810468355026;0.533627768602632;0.5650609291542731;0.5524219982275322;0.5281090507734844;0.5493648430832067;0.5314196789324298;0.5310557946347577;0.5519738472903883;0.5468620143737122;;;;
External Fragmentation Per Link;1;<7-5>; ;0.5517467163488866;0.5501502825918423;0.5603929669578894;0.5370486770753881;0.5534670719236952;0.5515297793150219;0.5428119704728107;0.5217644405243175;0.5300431670578658;0.5363440964881628;;;;
External Fragmentation Per Link;1;<15-13>; ;0.39414180069425814;0.3868651149353738;0.3875838828121332;0.40739603911531364;0.3871033505281525;0.3821751064731422;0.4057311071311109;0.3829424131897406;0.3941615982738771;0.39396396328223504;;;;
External Fragmentation Per Link;1;<19-18>; ;0.4925934677652157;0.4855048096904459;0.5078405061213735;0.4980862895649831;0.4651274741505291;0.48432826091897374;0.4824006616272219;0.4836641150018229;0.5046933694229625;0.49862314730422247;;;;
External Fragmentation Per Link;1;<9-15>; ;0.4174730579832428;0.4065732100867938;0.4238640132447055;0.40275961609114264;0.3876560063220063;0.3866969773973321;0.4009191971039197;0.38428073682785235;0.40756263964367034;0.4166152576556294;;;;
