;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair;4;all;10;1; ;0;0.006410256;0.021428571;0.006944444;0.007936508;0.012987013;0.018404908;0.006944444;0.006369427;0;;;;
blocking probabilities per pair;4;all;14;4; ;0.006410256;0.007042254;0;0.006802721;0.007575758;0;0;0;0.015625;0;;;;
blocking probabilities per pair;4;all;4;25; ;0.007246377;0.007692308;0.018867925;0;0.014705882;0.041958042;0.027972028;0.008849558;0.00729927;0.007575758;;;;
blocking probabilities per pair;4;all;23;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;25;27; ;0;0.007407407;0;0.007246377;0.006802721;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;21;4; ;0.014492754;0.028985507;0;0;0.007874016;0.006993007;0.013245033;0;0.006329114;0.020689655;;;;
blocking probabilities per pair;4;all;18;9; ;0;0.007575758;0.013333333;0.007194245;0.006993007;0.007575758;0.019354839;0.022058824;0.012658228;0.022222222;;;;
blocking probabilities per pair;4;all;2;15; ;0.007092199;0.013986014;0.007352941;0;0.024390244;0.006756757;0.016528926;0.014925373;0;0;;;;
blocking probabilities per pair;4;all;1;7; ;0.019607843;0.041666667;0.034246575;0.019607843;0.027027027;0.028571429;0.035714286;0.036764706;0.014925373;0.022900763;;;;
blocking probabilities per pair;4;all;2;23; ;0.012987013;0;0;0;0.008196721;0;0;0.033057851;0;0.008;;;;
blocking probabilities per pair;4;all;21;15; ;0;0;0;0.006993007;0.007246377;0.020689655;0;0.007246377;0.007407407;0;;;;
blocking probabilities per pair;4;all;22;6; ;0;0;0.014925373;0;0.006993007;0.020408163;0.006802721;0;0;0.007692308;;;;
blocking probabilities per pair;4;all;25;2; ;0.030075188;0.008;0.03649635;0.015748031;0.02173913;0.007042254;0.007407407;0.023076923;0.036231884;0.006711409;;;;
blocking probabilities per pair;4;all;18;12; ;0.006896552;0;0;0;0;0.007042254;0;0;0;0.006535948;;;;
blocking probabilities per pair;4;all;4;18; ;0;0.006622517;0.012738854;0;0;0;0;0.007246377;0;0;;;;
blocking probabilities per pair;4;all;27;13; ;0.007352941;0;0.021582734;0;0;0.015267176;0;0;0.007751938;0;;;;
blocking probabilities per pair;4;all;12;24; ;0;0;0;0.006451613;0;0;0.007518797;0;0;0;;;;
blocking probabilities per pair;4;all;28;17; ;0.126865672;0.053892216;0.036764706;0.046511628;0.079710145;0.1;0.014388489;0.062937063;0.111940299;0.094202899;;;;
blocking probabilities per pair;4;all;7;13; ;0.020547945;0.014705882;0.033783784;0.007194245;0.007194245;0.008130081;0.006944444;0.0078125;0.015384615;0.035211268;;;;
blocking probabilities per pair;4;all;11;10; ;0.013986014;0.020408163;0.006756757;0.013157895;0.035211268;0.047945205;0.00729927;0.025641026;0.007352941;0;;;;
blocking probabilities per pair;4;all;20;12; ;0.006756757;0;0.006711409;0;0;0.015151515;0;0.007462687;0.0234375;0;;;;
blocking probabilities per pair;4;all;22;16; ;0;0;0;0;0;0.009090909;0;0;0;0;;;;
blocking probabilities per pair;4;all;23;17; ;0;0.007042254;0;0.008;0.00729927;0;0;0;0;0.019354839;;;;
blocking probabilities per pair;4;all;5;23; ;0.059701493;0.103703704;0.1;0.094488189;0.088495575;0.082191781;0.102040816;0.071895425;0.102189781;0.090163934;;;;
blocking probabilities per pair;4;all;16;28; ;0;0.02189781;0;0;0.013986014;0;0.015748031;0.006493506;0;0;;;;
blocking probabilities per pair;4;all;20;18; ;0;0;0.006849315;0.006711409;0;0.007194245;0;0;0;0;;;;
blocking probabilities per pair;4;all;8;13; ;0;0;0;0;0.006666667;0.007633588;0;0.007194245;0;0;;;;
blocking probabilities per pair;4;all;17;10; ;0.026143791;0.05;0.053691275;0.045454545;0.0546875;0.025;0.039215686;0.026845638;0.029850746;0.04109589;;;;
blocking probabilities per pair;4;all;16;18; ;0.015625;0.021052632;0.006849315;0.021276596;0.014285714;0.013986014;0.028169014;0;0.015625;0.015037594;;;;
blocking probabilities per pair;4;all;19;4; ;0.007575758;0.013605442;0.006802721;0;0;0.013422819;0.014492754;0;0;0.007518797;;;;
blocking probabilities per pair;4;all;22;21; ;0;0.007633588;0;0.02238806;0.007246377;0.006802721;0.0125;0.007194245;0;0;;;;
blocking probabilities per pair;4;all;1;18; ;0;0.014084507;0.006622517;0;0;0.006493506;0;0;0;0;;;;
blocking probabilities per pair;4;all;23;16; ;0.067226891;0.019480519;0.041666667;0.056910569;0.0375;0.006493506;0;0.014184397;0.040816327;0.007142857;;;;
blocking probabilities per pair;4;all;24;14; ;0.006622517;0;0;0.007042254;0;0;0;0;0.007142857;0.006993007;;;;
blocking probabilities per pair;4;all;11;28; ;0.022727273;0.018518519;0.013605442;0.014285714;0.007246377;0.014184397;0.01459854;0.022556391;0.014814815;0.018867925;;;;
blocking probabilities per pair;4;all;27;23; ;0.063380282;0.006666667;0.04379562;0.058333333;0.0625;0.014285714;0.059701493;0.046052632;0.04;0.064285714;;;;
blocking probabilities per pair;4;all;22;17; ;0.080645161;0.006535948;0.029411765;0.020547945;0.035460993;0.012987013;0.006756757;0.042253521;0.026315789;0;;;;
blocking probabilities per pair;4;all;10;27; ;0;0.014285714;0;0.006944444;0;0;0;0.006993007;0;0;;;;
blocking probabilities per pair;4;all;16;7; ;0.015151515;0.017094017;0.014084507;0.00729927;0;0.032679739;0.016528926;0.026086957;0.008547009;0.007518797;;;;
blocking probabilities per pair;4;all;24;27; ;0.032894737;0.014285714;0;0.014285714;0.012987013;0.032467532;0.007462687;0;0;0.006711409;;;;
blocking probabilities per pair;4;all;27;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;25;11; ;0;0.012738854;0.015503876;0.007042254;0.014285714;0.008130081;0.006493506;0.026845638;0.015503876;0.013333333;;;;
blocking probabilities per pair;4;all;7;18; ;0.008695652;0.022058824;0.007936508;0.038461538;0.058823529;0.025641026;0.041958042;0.007462687;0.01986755;0.052238806;;;;
blocking probabilities per pair;4;all;15;28; ;0.007518797;0;0.012903226;0.008;0;0;0.007692308;0.007246377;0.007142857;0.006802721;;;;
blocking probabilities per pair;4;all;5;24; ;0.035460993;0.035211268;0.051851852;0.064516129;0.062937063;0.033112583;0.058823529;0.084615385;0.051851852;0.067114094;;;;
blocking probabilities per pair;4;all;23;20; ;0.013422819;0.006289308;0.023809524;0.008928571;0.013422819;0.008333333;0;0;0.006369427;0.007042254;;;;
blocking probabilities per pair;4;all;2;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;1;25; ;0.028776978;0.016528926;0.007142857;0.028985507;0.037037037;0.013605442;0.021276596;0.022900763;0.022900763;0.023255814;;;;
blocking probabilities per pair;4;all;14;28; ;0;0.020689655;0.036231884;0.007042254;0.006802721;0.007462687;0.021582734;0.006849315;0.007462687;0.006944444;;;;
blocking probabilities per pair;4;all;22;27; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;13;18; ;0;0;0.006944444;0;0;0;0.006097561;0;0.0078125;0;;;;
blocking probabilities per pair;4;all;19;12; ;0;0.007042254;0;0;0;0;0.007692308;0;0.006896552;0.02189781;;;;
blocking probabilities per pair;4;all;20;17; ;0.013422819;0.021428571;0.022058824;0;0.015503876;0.006944444;0.02189781;0.032258065;0.01986755;0.020547945;;;;
blocking probabilities per pair;4;all;15;7; ;0;0.006802721;0.007407407;0;0.006711409;0.02189781;0.024793388;0.027586207;0.014492754;0.020547945;;;;
blocking probabilities per pair;4;all;19;18; ;0;0.014925373;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;1;17; ;0.014925373;0;0;0.007633588;0.01369863;0.008196721;0;0.021126761;0.031007752;0;;;;
blocking probabilities per pair;4;all;11;27; ;0;0.017964072;0.021582734;0.01986755;0.014705882;0.014388489;0.00729927;0.020408163;0.034013605;0.006451613;;;;
blocking probabilities per pair;4;all;22;12; ;0;0.020547945;0;0;0;0.007462687;0.008196721;0.020833333;0;0.007751938;;;;
blocking probabilities per pair;4;all;20;27; ;0;0.01459854;0;0.008695652;0.02962963;0;0.007518797;0.007692308;0;0.007751938;;;;
blocking probabilities per pair;4;all;9;5; ;0.006993007;0.007936508;0.012195122;0;0;0.02027027;0;0.020833333;0;0.016528926;;;;
blocking probabilities per pair;4;all;22;3; ;0.007518797;0.013793103;0.021276596;0;0.018518519;0.014814815;0.006289308;0.033613445;0.013157895;0.036231884;;;;
blocking probabilities per pair;4;all;14;18; ;0;0.006756757;0;0;0;0;0;0;0.007462687;0.006896552;;;;
blocking probabilities per pair;4;all;17;6; ;0.076335878;0.05;0.063829787;0.070063694;0.04;0.085106383;0.03649635;0.099236641;0.041322314;0.063492063;;;;
blocking probabilities per pair;4;all;2;16; ;0.02739726;0.006711409;0.022727273;0.014285714;0.019480519;0;0.015384615;0.030769231;0.033333333;0.038961039;;;;
blocking probabilities per pair;4;all;6;16; ;0.023076923;0.017751479;0;0.007518797;0.008264463;0.007092199;0.006849315;0.008695652;0;0.014184397;;;;
blocking probabilities per pair;4;all;25;28; ;0.008333333;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;6;28; ;0;0.007692308;0.0078125;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;13;24; ;0.022222222;0.006451613;0.007518797;0.014184397;0.022058824;0.014285714;0.007092199;0.012987013;0;0.007042254;;;;
blocking probabilities per pair;4;all;18;21; ;0.014705882;0.013422819;0.006756757;0.006451613;0.006896552;0;0.006756757;0.007462687;0;0.007633588;;;;
blocking probabilities per pair;4;all;20;7; ;0.026315789;0.022556391;0.016;0.016260163;0.015503876;0.026845638;0.014705882;0.013245033;0.019354839;0.034965035;;;;
blocking probabilities per pair;4;all;5;9; ;0.006944444;0;0;0.014705882;0;0.007751938;0.013422819;0;0.008130081;0.01369863;;;;
blocking probabilities per pair;4;all;28;1; ;0.021428571;0.057142857;0.012269939;0.055172414;0.068181818;0.053846154;0.045801527;0.07751938;0.029411765;0.026845638;;;;
blocking probabilities per pair;4;all;9;19; ;0;0.007874016;0;0;0.007407407;0.007751938;0;0;0;0;;;;
blocking probabilities per pair;4;all;27;24; ;0.008130081;0.007246377;0;0;0.021276596;0;0.008130081;0.007142857;0.007407407;0.013888889;;;;
blocking probabilities per pair;4;all;23;2; ;0.008196721;0;0.008695652;0;0.013157895;0.02962963;0;0;0;0.0078125;;;;
blocking probabilities per pair;4;all;22;13; ;0.008;0.037593985;0.013605442;0.016806723;0.01242236;0;0.020408163;0.019354839;0.007246377;0.006535948;;;;
blocking probabilities per pair;4;all;12;9; ;0.014388489;0;0;0.012738854;0;0.007462687;0;0.015625;0.014705882;0.022222222;;;;
blocking probabilities per pair;4;all;9;7; ;0;0.006944444;0.007633588;0.020134228;0;0.007352941;0.0125;0.007246377;0.007633588;0.008264463;;;;
blocking probabilities per pair;4;all;16;6; ;0;0.014492754;0.013605442;0.015151515;0.007194245;0.013986014;0;0.013888889;0;0;;;;
blocking probabilities per pair;4;all;8;6; ;0.014285714;0.007246377;0.015037594;0.021582734;0;0.007042254;0.007874016;0.006535948;0;0.015037594;;;;
blocking probabilities per pair;4;all;6;21; ;0.014184397;0.007407407;0.007194245;0.007575758;0.014814815;0;0.02189781;0;0.006944444;0.013605442;;;;
blocking probabilities per pair;4;all;14;1; ;0.016;0;0;0;0.006451613;0.007462687;0;0;0.008;0.007518797;;;;
blocking probabilities per pair;4;all;1;16; ;0.017241379;0.021126761;0.007246377;0.006993007;0.034482759;0;0.006849315;0;0;0.014084507;;;;
blocking probabilities per pair;4;all;14;3; ;0;0;0;0.006944444;0;0;0.006410256;0;0;0.008333333;;;;
blocking probabilities per pair;4;all;24;18; ;0;0;0;0;0;0.007751938;0;0;0;0;;;;
blocking probabilities per pair;4;all;9;21; ;0.014925373;0.025423729;0.007042254;0;0;0.014388489;0;0;0;0;;;;
blocking probabilities per pair;4;all;17;28; ;0.120567376;0.039370079;0.079136691;0.095238095;0.053691275;0.089655172;0.066666667;0.037593985;0.031007752;0.090909091;;;;
blocking probabilities per pair;4;all;4;13; ;0;0;0.014705882;0;0.016393443;0;0;0.006802721;0;0.006896552;;;;
blocking probabilities per pair;4;all;14;21; ;0;0.007518797;0.007142857;0.006944444;0;0.007407407;0.01459854;0;0;0.014925373;;;;
blocking probabilities per pair;4;all;14;24; ;0.006711409;0;0;0;0.013888889;0.007092199;0;0.013071895;0.006756757;0.014705882;;;;
blocking probabilities per pair;4;all;28;18; ;0.01183432;0.014285714;0.006896552;0;0.013513514;0.007246377;0.006622517;0.020833333;0.014705882;0.006493506;;;;
blocking probabilities per pair;4;all;21;26; ;0;0;0;0;0;0;0.007936508;0.006369427;0;0;;;;
blocking probabilities per pair;4;all;6;9; ;0.013986014;0;0.006802721;0;0;0;0;0.008;0.014285714;0;;;;
blocking probabilities per pair;4;all;15;14; ;0;0;0;0;0;0.006802721;0;0;0;0;;;;
blocking probabilities per pair;4;all;25;19; ;0.006756757;0;0.008196721;0;0;0;0.007092199;0.007751938;0.015873016;0;;;;
blocking probabilities per pair;4;all;16;25; ;0;0.007194245;0;0.00729927;0;0;0.006944444;0.006802721;0;0.007633588;;;;
blocking probabilities per pair;4;all;20;16; ;0;0.00729927;0;0.007246377;0;0.006896552;0.014285714;0;0;0.006756757;;;;
blocking probabilities per pair;4;all;2;5; ;0.021276596;0.050359712;0.041958042;0.051094891;0.04109589;0.03164557;0.03125;0.062992126;0.031746032;0.016129032;;;;
blocking probabilities per pair;4;all;24;1; ;0;0.02189781;0.006896552;0;0;0;0;0;0;0.014285714;;;;
blocking probabilities per pair;4;all;7;15; ;0;0.02238806;0.006666667;0.012738854;0.006802721;0.015384615;0.007092199;0.034965035;0;0;;;;
blocking probabilities per pair;4;all;20;24; ;0.007575758;0;0;0.006896552;0;0;0;0.008064516;0.027972028;0.007936508;;;;
blocking probabilities per pair;4;all;13;28; ;0.008849558;0.01242236;0.015748031;0;0.007246377;0.020979021;0.013605442;0.013513514;0.024390244;0.022556391;;;;
blocking probabilities per pair;4;all;9;16; ;0;0.014925373;0.014084507;0.006896552;0;0.007575758;0.006666667;0.006802721;0;0;;;;
blocking probabilities per pair;4;all;3;15; ;0.007936508;0;0;0.014814815;0.015625;0;0;0;0.007042254;0;;;;
blocking probabilities per pair;4;all;8;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;28;25; ;0;0.013793103;0;0;0.007194245;0;0;0;0.007692308;0.007407407;;;;
blocking probabilities per pair;4;all;21;16; ;0;0;0;0;0;0;0;0.007407407;0;0;;;;
blocking probabilities per pair;4;all;14;27; ;0.024193548;0.035714286;0.012987013;0.012269939;0;0.028985507;0.0078125;0.006756757;0.00617284;0;;;;
blocking probabilities per pair;4;all;23;9; ;0.044117647;0.021126761;0.008;0.020979021;0.045801527;0.056910569;0;0.021126761;0.019354839;0.040983607;;;;
blocking probabilities per pair;4;all;18;20; ;0;0.021582734;0;0.021582734;0;0.007142857;0;0;0;0;;;;
blocking probabilities per pair;4;all;1;12; ;0;0;0;0;0;0.007407407;0;0.006622517;0;0;;;;
blocking probabilities per pair;4;all;15;2; ;0.006711409;0;0;0.007142857;0.019354839;0;0;0.007518797;0;0.006993007;;;;
blocking probabilities per pair;4;all;6;13; ;0.013793103;0.028368794;0.007142857;0.008403361;0.023255814;0.008064516;0.006711409;0.007194245;0.025974026;0.020979021;;;;
blocking probabilities per pair;4;all;10;16; ;0.019230769;0.00621118;0;0;0.007142857;0.006329114;0;0;0;0;;;;
blocking probabilities per pair;4;all;12;22; ;0.007518797;0.007518797;0.014184397;0.028776978;0.020833333;0;0.021276596;0.006993007;0;0.006711409;;;;
blocking probabilities per pair;4;all;3;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;20;26; ;0.008130081;0;0;0.007936508;0.007518797;0.006849315;0;0.007874016;0;0;;;;
blocking probabilities per pair;4;all;1;3; ;0;0;0;0;0;0;0;0.013422819;0;0;;;;
blocking probabilities per pair;4;all;17;21; ;0.023255814;0.00729927;0.007246377;0.054054054;0.020408163;0.044117647;0.028985507;0.013071895;0.02189781;0.02189781;;;;
blocking probabilities per pair;4;all;4;2; ;0;0;0;0;0;0.006849315;0;0;0;0;;;;
blocking probabilities per pair;4;all;15;12; ;0.007462687;0;0;0;0.007142857;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;9;12; ;0.014925373;0;0;0.008547009;0;0.013245033;0.01459854;0;0;0;;;;
blocking probabilities per pair;4;all;25;20; ;0.01459854;0;0;0.009090909;0;0;0;0;0;0.0125;;;;
blocking probabilities per pair;4;all;8;26; ;0.017391304;0.007462687;0.023076923;0.01242236;0.007462687;0.007092199;0;0;0.007194245;0.007633588;;;;
blocking probabilities per pair;4;all;24;16; ;0.007407407;0.015384615;0.020547945;0.007246377;0.006849315;0.025806452;0.026785714;0.006535948;0.020979021;0.007633588;;;;
blocking probabilities per pair;4;all;12;17; ;0;0.007874016;0;0;0;0.007194245;0.007518797;0;0;0;;;;
blocking probabilities per pair;4;all;25;10; ;0.007194245;0.014814815;0;0;0.00729927;0.013333333;0;0;0.013333333;0.007407407;;;;
blocking probabilities per pair;4;all;7;12; ;0.035460993;0.028571429;0.015267176;0.006944444;0.021582734;0.006896552;0.024390244;0.021126761;0;0.014285714;;;;
blocking probabilities per pair;4;all;9;14; ;0;0;0;0;0;0;0;0;0.007194245;0.006666667;;;;
blocking probabilities per pair;4;all;18;6; ;0.037593985;0.01459854;0.040540541;0.029411765;0.022727273;0.035714286;0.026315789;0.04;0.065693431;0.040650407;;;;
blocking probabilities per pair;4;all;23;13; ;0.027777778;0.021582734;0.014184397;0.008264463;0.021126761;0.015037594;0.014184397;0.024793388;0.013245033;0.014814815;;;;
blocking probabilities per pair;4;all;19;20; ;0;0;0;0.006993007;0;0;0.016260163;0;0;0;;;;
blocking probabilities per pair;4;all;16;26; ;0;0.015384615;0;0.007462687;0.007142857;0;0;0.006944444;0;0;;;;
blocking probabilities per pair;4;all;2;7; ;0.015037594;0.014084507;0.041958042;0.039215686;0.069767442;0.020979021;0.023622047;0.01459854;0.006896552;0.051094891;;;;
blocking probabilities per pair;4;all;25;4; ;0.02739726;0.023076923;0.006944444;0;0;0;0.007142857;0.02919708;0.013888889;0.028571429;;;;
blocking probabilities per pair;4;all;21;5; ;0.02027027;0.042253521;0.032894737;0.041666667;0.016393443;0.030674847;0.027027027;0.020134228;0.01986755;0.021428571;;;;
blocking probabilities per pair;4;all;2;17; ;0.014388489;0.034722222;0;0.013513514;0.031496063;0.006535948;0.006622517;0.028368794;0;0.01459854;;;;
blocking probabilities per pair;4;all;9;13; ;0;0;0;0.016;0;0;0;0.0078125;0.006410256;0.014285714;;;;
blocking probabilities per pair;4;all;26;24; ;0.008196721;0.020689655;0.017391304;0.020408163;0;0;0.007042254;0;0.007751938;0.007575758;;;;
blocking probabilities per pair;4;all;7;23; ;0.049295775;0.061538462;0.014925373;0.064;0.053333333;0.079710145;0.035714286;0.044776119;0.057377049;0.039473684;;;;
blocking probabilities per pair;4;all;11;17; ;0;0.007042254;0;0.007518797;0;0;0;0;0;0.007092199;;;;
blocking probabilities per pair;4;all;21;10; ;0.006493506;0.006410256;0.015873016;0.020408163;0.006060606;0;0;0.015625;0;0.007092199;;;;
blocking probabilities per pair;4;all;21;14; ;0.006622517;0;0.015267176;0.008196721;0.008474576;0.006849315;0.013333333;0;0;0.014388489;;;;
blocking probabilities per pair;4;all;19;22; ;0.020134228;0.006849315;0;0.006451613;0.015625;0.006993007;0.014084507;0.007575758;0.022556391;0.014492754;;;;
blocking probabilities per pair;4;all;6;23; ;0.102739726;0.045751634;0.135483871;0.087248322;0.093959732;0.041958042;0.053030303;0.090277778;0.161764706;0.111842105;;;;
blocking probabilities per pair;4;all;17;27; ;0.042253521;0.027210884;0.034013605;0.02919708;0.022058824;0.014925373;0.014925373;0.016806723;0.021428571;0.021428571;;;;
blocking probabilities per pair;4;all;2;6; ;0.008;0.046511628;0.032258065;0.044117647;0.021276596;0.04137931;0.027972028;0.025;0.035460993;0.021428571;;;;
blocking probabilities per pair;4;all;24;28; ;0.028985507;0.007751938;0.038961039;0.051851852;0.033333333;0.044444444;0.040540541;0.007042254;0.006802721;0.02;;;;
blocking probabilities per pair;4;all;26;17; ;0.021428571;0.017699115;0.007142857;0.027027027;0.020689655;0.006944444;0.021428571;0.017391304;0.023076923;0.029411765;;;;
blocking probabilities per pair;4;all;23;5; ;0.098484848;0.075757576;0.134228188;0.105633803;0.091603053;0.125;0.104575163;0.056603774;0.079365079;0.104166667;;;;
blocking probabilities per pair;4;all;6;1; ;0.014388489;0.013986014;0.015625;0.019354839;0.015037594;0.014084507;0.024193548;0.007692308;0.013888889;0.044117647;;;;
blocking probabilities per pair;4;all;19;6; ;0.037037037;0.015267176;0.035971223;0.007352941;0.03875969;0.02919708;0.03875969;0.032467532;0.022058824;0.007633588;;;;
blocking probabilities per pair;4;all;17;11; ;0;0;0;0.00621118;0.006993007;0.032258065;0;0;0;0;;;;
blocking probabilities per pair;4;all;25;23; ;0.007518797;0.015037594;0.027777778;0.006134969;0;0.007352941;0;0.014814815;0.01459854;0.013605442;;;;
blocking probabilities per pair;4;all;19;10; ;0;0.006993007;0.013888889;0.006369427;0.012658228;0.033783784;0;0.03968254;0.013793103;0.020689655;;;;
blocking probabilities per pair;4;all;18;2; ;0;0;0;0;0;0;0;0;0.006711409;0;;;;
blocking probabilities per pair;4;all;2;19; ;0.008196721;0.014814815;0.008196721;0.00621118;0;0.007751938;0;0.007462687;0;0.007092199;;;;
blocking probabilities per pair;4;all;7;24; ;0.045454545;0.034013605;0.043103448;0.028368794;0.028776978;0.024793388;0.037878788;0.054421769;0.059701493;0.029411765;;;;
blocking probabilities per pair;4;all;19;16; ;0.012903226;0.012987013;0.013513514;0.028985507;0.013245033;0.027777778;0;0;0.007518797;0.006711409;;;;
blocking probabilities per pair;4;all;28;4; ;0.03649635;0.014925373;0.007462687;0.014925373;0.016260163;0.022058824;0;0.020408163;0.034965035;0.015267176;;;;
blocking probabilities per pair;4;all;22;2; ;0.01369863;0.034965035;0.035714286;0.026666667;0;0;0.033333333;0.029411765;0.014705882;0.021276596;;;;
blocking probabilities per pair;4;all;9;18; ;0.007246377;0.015873016;0.00862069;0.007092199;0;0.006060606;0;0;0.013605442;0.00729927;;;;
blocking probabilities per pair;4;all;4;15; ;0.007936508;0;0;0.00625;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;22;4; ;0;0.018518519;0.007518797;0.006944444;0.018987342;0.025423729;0.008130081;0.018018018;0.014925373;0.013888889;;;;
blocking probabilities per pair;4;all;24;2; ;0.006944444;0.007575758;0.006622517;0;0.007692308;0.007462687;0;0;0;0;;;;
blocking probabilities per pair;4;all;10;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;15;23; ;0;0.012578616;0.021428571;0.015151515;0.02238806;0.026845638;0;0.014084507;0.032258065;0.02;;;;
blocking probabilities per pair;4;all;2;4; ;0;0;0;0;0;0.008264463;0;0;0;0;;;;
blocking probabilities per pair;4;all;13;19; ;0;0;0;0;0;0;0;0;0.006578947;0;;;;
blocking probabilities per pair;4;all;7;14; ;0.020833333;0.013986014;0.025423729;0.016806723;0.013157895;0.00621118;0.033783784;0.028571429;0.0078125;0.03030303;;;;
blocking probabilities per pair;4;all;18;8; ;0.01459854;0.016129032;0.007092199;0;0.007092199;0.018987342;0;0.007575758;0;0;;;;
blocking probabilities per pair;4;all;4;21; ;0.014084507;0.013793103;0;0.02027027;0.016806723;0.026315789;0;0.015384615;0.007518797;0.013793103;;;;
blocking probabilities per pair;4;all;11;14; ;0;0;0;0;0;0;0;0;0.016528926;0;;;;
blocking probabilities per pair;4;all;18;16; ;0.007518797;0.006802721;0.012345679;0.016528926;0.013071895;0.007462687;0.006329114;0.020833333;0;0.015384615;;;;
blocking probabilities per pair;4;all;2;14; ;0.021582734;0;0.012987013;0.013071895;0.007352941;0.015267176;0;0.02173913;0;0;;;;
blocking probabilities per pair;4;all;23;19; ;0.012738854;0.006756757;0;0.006578947;0;0;0.01459854;0;0;0.014814815;;;;
blocking probabilities per pair;4;all;18;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;12;15; ;0;0.006944444;0.007462687;0.007575758;0;0;0.00617284;0;0;0;;;;
blocking probabilities per pair;4;all;19;23; ;0.006097561;0;0;0;0.024242424;0.007633588;0;0;0;0.008264463;;;;
blocking probabilities per pair;4;all;14;5; ;0.013793103;0.014492754;0.03968254;0.007194245;0.015037594;0.036231884;0.007692308;0.031746032;0.015873016;0.008064516;;;;
blocking probabilities per pair;4;all;10;4; ;0;0.006535948;0;0;0;0.006711409;0;0;0.006622517;0.006578947;;;;
blocking probabilities per pair;4;all;15;10; ;0;0;0;0;0.014388489;0.006944444;0;0.006535948;0;0.009174312;;;;
blocking probabilities per pair;4;all;8;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;13;8; ;0;0;0;0.006289308;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;26;15; ;0;0;0;0;0.022727273;0.007575758;0;0;0;0.007407407;;;;
blocking probabilities per pair;4;all;28;23; ;0.057692308;0.133333333;0.033333333;0.021126761;0.08125;0.0625;0.032520325;0.097902098;0.040268456;0.045454545;;;;
blocking probabilities per pair;4;all;21;23; ;0.007407407;0.021126761;0.014184397;0.021126761;0.03539823;0;0.007575758;0.04109589;0.013793103;0.045454545;;;;
blocking probabilities per pair;4;all;27;15; ;0.00729927;0.008130081;0.015151515;0;0.007575758;0;0;0.007751938;0.007751938;0;;;;
blocking probabilities per pair;4;all;15;9; ;0;0;0;0;0;0;0;0.006756757;0;0;;;;
blocking probabilities per pair;4;all;7;20; ;0.024;0.020833333;0.006756757;0.02189781;0.020689655;0.032679739;0.023255814;0.01986755;0.015384615;0.007246377;;;;
blocking probabilities per pair;4;all;9;10; ;0;0;0.008264463;0;0;0.015267176;0;0;0;0.006666667;;;;
blocking probabilities per pair;4;all;7;27; ;0.006622517;0.013986014;0.007692308;0.021126761;0.021276596;0.007751938;0.024590164;0.030075188;0.007352941;0.012578616;;;;
blocking probabilities per pair;4;all;10;6; ;0;0;0;0.006802721;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;14;7; ;0.025974026;0.007142857;0.020979021;0;0.014705882;0.013986014;0.007042254;0.037037037;0.007462687;0;;;;
blocking probabilities per pair;4;all;10;19; ;0.045751634;0;0;0.018181818;0.031746032;0.014388489;0.015151515;0.016;0.011904762;0.006993007;;;;
blocking probabilities per pair;4;all;12;13; ;0.014184397;0;0.006711409;0;0;0.006944444;0;0.007518797;0;0.007575758;;;;
blocking probabilities per pair;4;all;26;20; ;0;0.015384615;0;0.007042254;0;0;0;0;0.019736842;0.00591716;;;;
blocking probabilities per pair;4;all;2;25; ;0.015503876;0.007575758;0;0.0390625;0.030769231;0.044025157;0.027972028;0.013888889;0.007194245;0.006849315;;;;
blocking probabilities per pair;4;all;8;15; ;0;0;0.006622517;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;4;all;6;4; ;0.012987013;0.01369863;0.01459854;0.007352941;0.024793388;0.007692308;0.021428571;0.007142857;0.006802721;0.034722222;;;;
blocking probabilities per pair;4;all;15;6; ;0.024390244;0.0125;0.030534351;0.007194245;0;0.032786885;0;0.025641026;0;0.014814815;;;;
blocking probabilities per pair;4;all;8;18; ;0.006622517;0.016129032;0;0.00729927;0.008403361;0.006711409;0.007751938;0.016393443;0;0;;;;
