Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;média;desvio;confianca
External Fragmentation Per Link;1;<18-11>; ;0.3660293812917118;0.3496546407810332;0.349358566740452;0.35769401423453767;0.34198232078821006;0.34522248970414;0.33719823858132264;0.346820062672081;0.3631820284300357;0.33346445339736797;;;;
External Fragmentation Per Link;1;<15-20>; ;0.4006953481194095;0.39627592835200237;0.3938748546694237;0.38981994610605664;0.40819830843231725;0.41404218038243806;0.39406676295294746;0.40118258280993724;0.3924286713166021;0.37936662962713974;;;;
External Fragmentation Per Link;1;<8-13>; ;0.3204212269306793;0.3219317410005279;0.31157416846182995;0.3254002393701113;0.33680371111525004;0.34427604398376777;0.34486934013026355;0.3242355530593863;0.34952729063312704;0.3333290875673958;;;;
External Fragmentation Per Link;1;<19-20>; ;0.4218710414193749;0.44098832026313634;0.42063421096567194;0.419379333851459;0.406742641104704;0.41903090256166414;0.40449869950478695;0.3998477037306158;0.415735791244164;0.39772314192375197;;;;
External Fragmentation Per Link;1;<25-20>; ;0.40443959685289504;0.3956478601144386;0.39375579420905915;0.4023086574664119;0.3948183517541936;0.4123647038621679;0.41358966392303426;0.3898649419654419;0.4114047511832099;0.4066825376523012;;;;
External Fragmentation Per Link;1;<11-3>; ;0.34298075185383997;0.329512781745868;0.349392874758687;0.33667779985048174;0.3429699201863199;0.3464124574849344;0.33838884453728885;0.32202294748155547;0.34362683842820585;0.3474394834804993;;;;
External Fragmentation Per Link;1;<2-1>; ;0.27406565285265455;0.2798586728475691;0.30810757866383887;0.27649822427882514;0.29467497793640657;0.2760260229099593;0.2840688759672;0.27516469271022886;0.2936646355367248;0.27252043050923463;;;;
External Fragmentation Per Link;1;<25-26>; ;0.28284748563256623;0.2766625579596772;0.28822275392021857;0.29480616794429626;0.2886784583507909;0.2855539821015179;0.3002318972243021;0.29593727653804175;0.2895291195880765;0.2912523011239595;;;;
External Fragmentation Per Link;1;<14-19>; ;0.5053216704950151;0.4992448699363278;0.4995592117918402;0.48786009398432767;0.4994502075049246;0.4861263365614849;0.47983227398709827;0.4711311945201052;0.49380840380838104;0.49533007811646845;;;;
External Fragmentation Per Link;1;<2-3>; ;0.42915446078705205;0.42115587275401317;0.4266278146248017;0.4286144369451017;0.43323656738850247;0.4232675118630765;0.4447591644575456;0.4172551309621393;0.43740919154558333;0.4347177633202634;;;;
