Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probabilities per pair;1;all;13;1; ;0;0;0;0.005555556;0.005747126;0.005555556;0;0.005102041;0;0;;;;
blocking probabilities per pair;1;all;3;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;4; ;0;0.005847953;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;15;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;6; ;0;0.004784689;0;0;0.005847953;0;0;0;0;0.005434783;;;;
blocking probabilities per pair;1;all;16;11; ;0;0;0;0;0.004524887;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;5; ;0;0.005405405;0;0.005681818;0;0;0;0;0.005376344;0;;;;
blocking probabilities per pair;1;all;8;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;4;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;23; ;0;0;0.005319149;0.005714286;0;0;0;0;0.005319149;0;;;;
blocking probabilities per pair;1;all;18;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;2; ;0.005524862;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;6; ;0.005555556;0.010752688;0;0.010526316;0.005235602;0.006060606;0;0.005494505;0;0.005319149;;;;
blocking probabilities per pair;1;all;14;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;4;23; ;0;0;0;0.010416667;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;17; ;0;0;0.005181347;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;21;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;11; ;0.005128205;0;0;0;0;0.00591716;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;14; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;19; ;0.00591716;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;9; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;18;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;16; ;0;0;0.006134969;0.009661836;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;16; ;0.005208333;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;17; ;0;0.005988024;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;23; ;0;0;0;0;0;0.005555556;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;16; ;0;0.005050505;0.00921659;0;0.005235602;0;0.004854369;0;0;0;;;;
blocking probabilities per pair;1;all;7;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;2;20; ;0.010362694;0;0.005376344;0.005347594;0.005617978;0.005154639;0;0.005376344;0.005235602;0.005434783;;;;
blocking probabilities per pair;1;all;4;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;14; ;0;0;0;0;0;0;0.005714286;0;0;0;;;;
blocking probabilities per pair;1;all;14;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;19; ;0.005464481;0;0;0.005263158;0;0;0;0;0.005524862;0;;;;
blocking probabilities per pair;1;all;13;22; ;0;0;0;0;0;0;0;0;0;0.005181347;;;;
blocking probabilities per pair;1;all;19;21; ;0;0;0;0;0.010362694;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;22;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;2; ;0.005128205;0.011764706;0.011494253;0.005681818;0.004950495;0.015075377;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;7; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;13;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;12; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;18; ;0.005263158;0;0.004761905;0;0;0;0;0.005076142;0;0;;;;
blocking probabilities per pair;1;all;15;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;2; ;0.005555556;0;0;0;0.010204082;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;17;4; ;0;0;0;0;0;0;0;0;0.005050505;0;;;;
blocking probabilities per pair;1;all;1;21; ;0.009803922;0;0.017241379;0.010638298;0.010309278;0.015957447;0;0.005235602;0;0;;;;
blocking probabilities per pair;1;all;8;17; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;20;6; ;0.005291005;0.011049724;0.010152284;0;0;0;0.005291005;0;0;0.010928962;;;;
blocking probabilities per pair;1;all;2;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;6; ;0.005617978;0;0;0;0.005319149;0;0;0.005;0;0.004926108;;;;
blocking probabilities per pair;1;all;9;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;3;21; ;0;0;0.005681818;0.005291005;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;6;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;5; ;0;0;0;0;0;0;0;0;0;0.004926108;;;;
blocking probabilities per pair;1;all;4;20; ;0;0;0.005617978;0;0;0.005319149;0.004716981;0;0.004784689;0;;;;
blocking probabilities per pair;1;all;19;7; ;0;0;0.005102041;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;15; ;0.010309278;0;0.005154639;0.005747126;0;0;0.006024096;0.006134969;0;0;;;;
blocking probabilities per pair;1;all;17;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;8;4; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;14; ;0;0;0;0;0;0;0;0;0;0;;;;
