Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;media;desvio;confianca
External Fragmentation Per Link;1;<1-2>; ;0.3047276537787378;0.3145397753953838;0.31073303096747656;0.31535984749641216;0.28429870635269927;0.30816902960645054;0.2921021893522049;0.3116444331594213;0.2929987453953131;0.3151829169007811;;;;
External Fragmentation Per Link;1;<1-4>; ;0.4271444665060917;0.43381687895197996;0.41895757278707557;0.42957769931659656;0.4237939408504875;0.44623884200471786;0.43383937561406516;0.41789528181574437;0.43304754044002075;0.44682036008868453;;;;
External Fragmentation Per Link;1;<3-2>; ;0.4292744742626824;0.41248013260611155;0.43715440384137677;0.4327844510254496;0.4377780930219395;0.4350149695861566;0.4377978192501447;0.44027104603099393;0.42023119855455504;0.4302376069110043;;;;
External Fragmentation Per Link;1;<3-4>; ;0.37532532706359584;0.37552052743637987;0.3526527946529826;0.3642076321216659;0.37003365034741836;0.3752330256004856;0.36792393864067857;0.3876611404537142;0.37212640511043604;0.40023140597366397;;;;
External Fragmentation Per Link;1;<10-9>; ;0.4260225705588979;0.4191245241753202;0.4109352588516717;0.4207310624994949;0.420635281659137;0.40951290120019845;0.4212785551167232;0.4042020715354081;0.4265009694391606;0.4243299045123305;;;;
External Fragmentation Per Link;1;<5-6>; ;0.46577951496006875;0.4822964597124839;0.47925313960514815;0.48575652776805145;0.4723488557400255;0.4982258910172304;0.46887968407752784;0.4911536773351399;0.47491087149494776;0.49135288602523086;;;;
External Fragmentation Per Link;1;<10-6>; ;0.35216085065700653;0.3470201102404781;0.3564314267060688;0.35532866159115684;0.34743268530496757;0.3915554651295886;0.3600593848477037;0.33999815535780986;0.34910455106107535;0.35882255751423026;;;;
External Fragmentation Per Link;1;<12-4>; ;0.4289691127961554;0.4344243810548788;0.4372791841369327;0.45251909476911023;0.42101933216833004;0.44281987627976016;0.44581750727492286;0.44315213655688734;0.42966013000322;0.44390211487397585;;;;
External Fragmentation Per Link;1;<5-7>; ;0.5501095515837344;0.535438502138413;0.5500174721055344;0.5645553183684819;0.5468558169623695;0.5504845867784417;0.55382889227799;0.5484234744805162;0.5486179582143277;0.532283781399473;;;;
External Fragmentation Per Link;1;<7-5>; ;0.5285671863750104;0.5143824739035651;0.5395532265683002;0.5376298795827011;0.537935911849665;0.5505510947701364;0.5454702837813813;0.5409361947871336;0.5376582942394452;0.5434681591547299;;;;
External Fragmentation Per Link;1;<15-13>; ;0.4005723788009616;0.38548946944288304;0.3877155429811247;0.3968965264186501;0.4106215727167045;0.3987143232306355;0.4006250303636203;0.39686460642508087;0.38459485416640043;0.4128758353490354;;;;
