Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
External Fragmentation Per Link;1;<12-4>; ;0.42388602842013795;0.425750278058877;0.4282828532874555;0.42490674677396223;0.41945823051533476;0.4200707013534178;0.41940079875105357;0.4275318368841858;0.42350388842251413;0.4388768912997082;;;;
External Fragmentation Per Link;1;<5-7>; ;0.5343043751212749;0.5313140383797976;0.550872017983384;0.5633728001994986;0.5446093914677834;0.5400452192316764;0.557017284345331;0.5500326674980561;0.5448999859047557;0.5536225961554848;;;;
External Fragmentation Per Link;1;<7-5>; ;0.54554416354796;0.534231493082949;0.549128630462974;0.5512169458094189;0.5459394826940095;0.5401282214594005;0.5499701599515546;0.5495555526680361;0.5327679487600043;0.5444350222306009;;;;
External Fragmentation Per Link;1;<15-13>; ;0.37936493568571167;0.3892736355575462;0.41144316679450577;0.4016827412176138;0.39359038741868335;0.38660610197417317;0.3838302129285887;0.41010952919453075;0.39825743376235545;0.4111293848843536;;;;
External Fragmentation Per Link;1;<19-18>; ;0.4794682707114176;0.4777605676642926;0.5045679321982749;0.49243631736331656;0.4792931172207773;0.47902024039006;0.4998787399110113;0.5050732143457983;0.49011834209204563;0.5105706239582393;;;;
External Fragmentation Per Link;1;<9-15>; ;0.4154242389304162;0.39328190789248846;0.4083775333224239;0.3893318609764982;0.4116714993370982;0.40524138671675575;0.42513170498602976;0.424856500695831;0.38655985875146986;0.42087358483709814;;;;
External Fragmentation Per Link;1;<16-22>; ;0.44393428412583763;0.4308656332161671;0.4508550314267341;0.44461253963406405;0.4307398193908593;0.44018758631748506;0.4386411601436615;0.44392608877728673;0.43050070385906875;0.43157688570567737;;;;
External Fragmentation Per Link;1;<7-9>; ;0.4495921998923597;0.4554204849842893;0.46943514687388205;0.47206918221501076;0.46522192186463474;0.45663092977970415;0.4795979505916467;0.47715263802392066;0.4712433616191674;0.47247194109565027;;;;
External Fragmentation Per Link;1;<9-7>; ;0.46224267767324045;0.4647538943387201;0.4733190951133556;0.45652189145898603;0.4688179673084177;0.47493617016417045;0.4776597638862629;0.4654337732017829;0.46450290913472536;0.4735141376541626;;;;
External Fragmentation Per Link;1;<9-16>; ;0.4116254474797788;0.40687376455891533;0.4312381686446268;0.42178718571175927;0.42023160267117265;0.4091961356438933;0.41313586495027593;0.40923392218591975;0.4219584427436281;0.4074056100274891;;;;
External Fragmentation Per Link;1;<9-8>; ;0.3937562003674164;0.4135176797364129;0.4044994097855916;0.4093787237785194;0.4131277222875182;0.3932137736701694;0.3971348424762288;0.41321917443205897;0.4124866248824432;0.3998045449365711;;;;
External Fragmentation Per Link;1;<21-16>; ;0.42577360484525556;0.41205496971589867;0.44111502456794927;0.4370104415892756;0.4356554814618011;0.41621342432356073;0.4088149414380482;0.4207811757026716;0.42797306511502287;0.4321203611734212;;;;
External Fragmentation Per Link;1;<19-14>; ;0.47442537841845717;0.48166653519584457;0.4839233021900764;0.4721192204045007;0.4943086363747579;0.4886334290338541;0.48163098367662904;0.48752872337914477;0.4894550946478918;0.48629039174088073;;;;
External Fragmentation Per Link;1;<21-15>; ;0.3945365399495433;0.393576738491571;0.4161709037796659;0.3989200049386118;0.38341812420778354;0.38907695692867533;0.4063189943217816;0.41312836636998257;0.41193746275801135;0.410255754652511;;;;
External Fragmentation Per Link;1;<11-12>; ;0.4043818064992966;0.41322479976273896;0.408269878225941;0.411102093291045;0.4093343888032133;0.4184482492701728;0.4238987320296845;0.39620461376798366;0.4117967310157781;0.41439010152921696;;;;
External Fragmentation Per Link;1;<15-14>; ;0.43401139532800787;0.422612323936486;0.4669348994354559;0.453621788202026;0.43117628875101743;0.4375679724387478;0.4646632093685089;0.46335495935325677;0.4589390516143266;0.45763813950102067;;;;
External Fragmentation Per Link;1;<9-10>; ;0.3833640646254278;0.3982057123354197;0.416119147591559;0.41422471928434856;0.39463558272676896;0.38442748488750395;0.42342197658810093;0.4035460855022793;0.410593893188692;0.39121141249983515;;;;
