Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Average of slots by modulation;3;32QAM;all; ;0.03746317228630298;0.03739577516319732;0.0363555837978876;0.038666320056227915;0.037626488739974775;0.03811752019487209;0.036856953043009406;0.037520941248964976;0.0382141688009089;0.03656740128823546
Average of slots by modulation;3;BPSK;all; ;1.5701892896343224;1.5986693882266854;1.579908148233731;1.583191319334123;1.5793882325756043;1.5895073317735864;1.5721204301903506;1.587192620977836;1.5818778764129326;1.5932526501256463
Average of slots by modulation;3;64QAM;all; ;0.010899077622229497;0.01080279601779284;0.010234636010898973;0.010099843062495787;0.012304670575662171;0.01122632698843669;0.011438364737485678;0.011958175271032717;0.01066800177158152;0.01033091668832982
Average of slots by modulation;3;8QAM;all; ;1.1462613852997245;1.1344957732375653;1.1304314337155676;1.1323570472641846;1.145017956346341;1.1460962999335664;1.1360568452065742;1.1319539388804376;1.129749090138838;1.1413400344684825
Average of slots by modulation;4;QPSK;all; ;3.0146057787662595;3.0237331869867035;3.039186613005719;2.995985018438105;3.01521263997073;3.030954535826385;3.0009339225710794;3.0069225807072777;3.010764283376018;3.016858746618141
Average of slots by modulation;4;16QAM;all; ;0.4971645340496616;0.5034131500149235;0.5018582349656274;0.4999085315951127;0.4952869700850175;0.4918545762646589;0.4909640584231151;0.5028354659503385;0.49120948951493326;0.5019496837179747
Average of slots by modulation;4;32QAM;all; ;0.03882036914011727;0.03543128929455148;0.03650035624193641;0.03663550322065068;0.03854189734356496;0.03720321195432401;0.034969142042883414;0.039138095375639066;0.03831045040534555;0.03887813754657578
Average of slots by modulation;4;BPSK;all; ;1.6059905837497472;1.5872543639217045;1.6002580346998903;1.6124050413533473;1.6108260078373982;1.6009512622518343;1.6079065692306211;1.59285789934818;1.609828426180894;1.5845296207504116
Average of slots by modulation;4;64QAM;all; ;0.011274467327152114;0.010388685094788326;0.01194854711058905;0.010514052435466633;0.010398513397714252;0.010282875353834896;0.010263520214128227;0.009820629097946332;0.011505651730180432;0.010205751807669718
Average of slots by modulation;4;8QAM;all; ;1.12466422113746;1.1416962729749767;1.1193410486992355;1.1294711200546885;1.1181868073675394;1.1319154262386628;1.1523545439665714;1.138316821197154;1.1409658970557086;1.1317697351318563
