Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;
blocking probabilities per pair;1;all;1;8; ;0.009615385;0.009242144;0.007434944;0.014209591;0.016304348;0.006734007;0.012962963;0.008710801;0.005586592;0.016977929;;
blocking probabilities per pair;1;all;12;11; ;0;0.003636364;0;0;0;0;0.00177305;0.001980198;0;0;;
blocking probabilities per pair;1;all;5;6; ;0.003442341;0.001745201;0.001919386;0;0.001692047;0;0;0;0;0.003527337;;
blocking probabilities per pair;1;all;12;14; ;0;0;0;0;0.001865672;0;0;0;0;0;;
blocking probabilities per pair;1;all;10;3; ;0.003802281;0;0.003683241;0;0;0.005263158;0;0.001795332;0;0.003558719;;
blocking probabilities per pair;1;all;11;10; ;0.003773585;0;0.003603604;0.001869159;0.001694915;0.001818182;0.001897533;0.001862197;0.001858736;0.005190311;;
blocking probabilities per pair;1;all;5;8; ;0.003731343;0.003552398;0.005366726;0;0;0.003327787;0.001779359;0;0.001636661;0.00174216;;
blocking probabilities per pair;1;all;10;4; ;0.001782531;0.001798561;0;0.001724138;0.007207207;0.003294893;0.001666667;0.001766784;0.001908397;0.003861004;;
blocking probabilities per pair;1;all;4;1; ;0.072796935;0.082242991;0.098039216;0.088461538;0.083478261;0.09122807;0.083333333;0.076470588;0.088607595;0.097682119;;
blocking probabilities per pair;1;all;11;8; ;0.003623188;0.003367003;0.001745201;0.008833922;0.003333333;0.008756567;0.005226481;0.001785714;0.001715266;0.003460208;;
blocking probabilities per pair;1;all;13;2; ;0;0;0;0.001779359;0;0;0;0.001831502;0;0.001663894;;
blocking probabilities per pair;1;all;7;14; ;0.005524862;0.001838235;0;0;0.009140768;0.003571429;0.001838235;0;0.008375209;0.001683502;;
blocking probabilities per pair;1;all;11;5; ;0.001686341;0;0.001838235;0.005366726;0;0.001785714;0.009560229;0.007181329;0.003669725;0.003484321;;
blocking probabilities per pair;1;all;1;7; ;0.145547945;0.161016949;0.147810219;0.151736746;0.142857143;0.133815552;0.163732394;0.150442478;0.119230769;0.167279412;;
blocking probabilities per pair;1;all;4;2; ;0.029304029;0.040998217;0.017699115;0.022491349;0.025225225;0.027272727;0.029411765;0.022429907;0.015706806;0.020408163;;
blocking probabilities per pair;1;all;4;5; ;0.003448276;0.004885993;0.001897533;0.003663004;0;0.005059022;0.001855288;0.003623188;0.005504587;0.007722008;;
blocking probabilities per pair;1;all;13;10; ;0;0.001828154;0;0;0.001801802;0;0.001798561;0.001941748;0.001811594;0.001776199;;
blocking probabilities per pair;1;all;1;6; ;0.001760563;0.001795332;0.005870841;0.001798561;0.001788909;0.001818182;0.001988072;0.005628518;0;0.003690037;;
blocking probabilities per pair;1;all;9;12; ;0.001883239;0;0;0.001808318;0;0;0.001811594;0.003565062;0.001841621;0;;
blocking probabilities per pair;1;all;13;11; ;0;0;0;0.001834862;0.001838235;0;0;0;0;0;;
blocking probabilities per pair;1;all;5;4; ;0.003533569;0.003527337;0.005791506;0.005415162;0.003960396;0.005405405;0.005484461;0.007619048;0.006993007;0.003690037;;
blocking probabilities per pair;1;all;6;8; ;0.001792115;0.003571429;0.001669449;0;0.003875969;0.001782531;0;0.003710575;0.001865672;0.001805054;;
blocking probabilities per pair;1;all;6;9; ;0;0;0.001795332;0;0.001666667;0.001724138;0.001712329;0;0;0.003527337;;
blocking probabilities per pair;1;all;1;2; ;0.006861063;0.005535055;0.007155635;0.005494505;0.008944544;0.003898635;0.001862197;0.015122873;0.005681818;0.005059022;;
blocking probabilities per pair;1;all;5;1; ;0;0.005208333;0.005504587;0.005928854;0.003418803;0.001811594;0.003496503;0.005199307;0.001879699;0.001801802;;
blocking probabilities per pair;1;all;13;5; ;0;0;0;0;0;0.001757469;0.001694915;0;0.001841621;0.003565062;;
blocking probabilities per pair;1;all;12;1; ;0.001828154;0;0;0.001851852;0.003533569;0.003571429;0.010638298;0.003656307;0.001703578;0.005154639;;
blocking probabilities per pair;1;all;2;14; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair;1;all;9;8; ;0;0.001733102;0.001937984;0;0.005291005;0.003952569;0.003430532;0;0;0.001841621;;
blocking probabilities per pair;1;all;11;1; ;0.001801802;0.005357143;0.002004008;0.001730104;0.001865672;0.003696858;0;0.003883495;0.001824818;0;;
blocking probabilities per pair;1;all;3;8; ;0.01119403;0.001703578;0.001869159;0.00681431;0.005454545;0.003571429;0.005454545;0.003669725;0.009276438;0.009633911;;
blocking probabilities per pair;1;all;4;11; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair;1;all;8;10; ;0.001848429;0.001818182;0.005263158;0.003527337;0.001865672;0.003424658;0.003846154;0.001776199;0.001828154;0.001890359;;
blocking probabilities per pair;1;all;1;11; ;0.001795332;0;0.001828154;0.001642036;0;0.001686341;0.001869159;0.006791171;0;0.00174216;;
blocking probabilities per pair;1;all;14;12; ;0;0;0;0;0;0;0;0;0.00177305;0;;
blocking probabilities per pair;1;all;6;5; ;0.001788909;0;0.001828154;0;0;0;0.001733102;0.001904762;0;0.001757469;;
blocking probabilities per pair;1;all;13;6; ;0;0;0.001760563;0.005217391;0.001968504;0;0;0;0.001811594;0;;
blocking probabilities per pair;1;all;8;9; ;0.003891051;0.001956947;0.003883495;0.001828154;0.001766784;0.003442341;0.003484321;0.003663004;0.001897533;0.003690037;;
blocking probabilities per pair;1;all;5;2; ;0.01682243;0.017667845;0.021072797;0.020979021;0.016728625;0.028828829;0.006791171;0.018832392;0.018018018;0.027881041;;
blocking probabilities per pair;1;all;6;11; ;0;0.001683502;0;0.001848429;0.003752345;0;0;0;0.001692047;0.001886792;;
blocking probabilities per pair;1;all;3;14; ;0.001769912;0;0;0.001788909;0;0;0.001818182;0.003361345;0;0.003448276;;
blocking probabilities per pair;1;all;9;7; ;0.001883239;0.005347594;0;0;0.003590664;0.001953125;0.003484321;0.001980198;0.005415162;0;;
blocking probabilities per pair;1;all;10;5; ;0.001838235;0.005415162;0.003552398;0.001766784;0;0.003418803;0.005464481;0.001779359;0;0.001828154;;
blocking probabilities per pair;1;all;6;2; ;0.001788909;0.001733102;0.005172414;0.001834862;0.003787879;0;0.010791367;0.001644737;0.001828154;0.001766784;;
blocking probabilities per pair;1;all;6;4; ;0.001818182;0.001763668;0.001865672;0;0;0;0.005347594;0.001858736;0.003623188;0.005535055;;
blocking probabilities per pair;1;all;10;1; ;0.001834862;0.005154639;0;0.003690037;0.003642987;0;0.001848429;0.001855288;0.006944444;0;;
blocking probabilities per pair;1;all;4;8; ;0;0;0.001751313;0.005328597;0.005464481;0.001757469;0.001904762;0;0.007827789;0.001851852;;
blocking probabilities per pair;1;all;14;13; ;0;0.001766784;0;0;0.001801802;0;0;0.001908397;0;0.003642987;;
blocking probabilities per pair;1;all;7;3; ;0;0;0.003407155;0.003738318;0.003724395;0;0;0.005226481;0.003508772;0.007462687;;
blocking probabilities per pair;1;all;7;1; ;0.14732965;0.160649819;0.138888889;0.157894737;0.139886578;0.13898917;0.138671875;0.152057245;0.161347518;0.130124777;;
blocking probabilities per pair;1;all;1;3; ;0.001872659;0.003745318;0.005586592;0.003466205;0.001782531;0.001736111;0.001869159;0;0.001862197;0;;
blocking probabilities per pair;1;all;11;12; ;0;0;0;0.003496503;0;0;0.001712329;0.003424658;0;0;;
blocking probabilities per pair;1;all;6;10; ;0;0;0;0;0;0;0;0;0;0.00177305;;
blocking probabilities per pair;1;all;10;2; ;0.00331675;0;0.007207207;0.005190311;0.001858736;0.001644737;0.005128205;0.005395683;0.001821494;0.001792115;;
blocking probabilities per pair;1;all;3;2; ;0.001818182;0.001736111;0.001808318;0;0.001845018;0;0.001792115;0.001801802;0.003590664;0.009057971;;
blocking probabilities per pair;1;all;4;12; ;0.0016;0;0;0.003502627;0;0;0;0;0.003616637;0.003333333;;
blocking probabilities per pair;1;all;2;7; ;0.005319149;0.005555556;0.001760563;0.001733102;0.005514706;0.007633588;0.007312614;0.005859375;0;0.003527337;;
blocking probabilities per pair;1;all;14;8; ;0.001745201;0.003642987;0.003546099;0.003220612;0.001841621;0.003424658;0.003773585;0.005524862;0.003527337;0.007462687;;
blocking probabilities per pair;1;all;1;13; ;0.005484461;0.003616637;0;0.005454545;0.007259528;0.001754386;0;0.007029877;0.003514938;0.007575758;;
blocking probabilities per pair;1;all;4;9; ;0;0;0;0;0.003514938;0;0.001748252;0.003717472;0.010830325;0.005119454;;
blocking probabilities per pair;1;all;10;11; ;0.007326007;0;0.001769912;0.001754386;0.003929273;0.001703578;0.001960784;0.003629764;0.001730104;0.003676471;;
blocking probabilities per pair;1;all;14;4; ;0;0;0.007042254;0.001748252;0;0.001814882;0.003690037;0;0.001697793;0.003717472;;
blocking probabilities per pair;1;all;7;12; ;0;0;0.005357143;0.001968504;0;0.001733102;0.006700168;0.003546099;0.001808318;0.00173913;;
blocking probabilities per pair;1;all;4;14; ;0;0;0;0.001808318;0.001757469;0;0;0;0.003603604;0.005357143;;
blocking probabilities per pair;1;all;3;5; ;0.00177305;0.001712329;0.003696858;0;0.001805054;0;0.001883239;0.001912046;0.003412969;0.007042254;;
blocking probabilities per pair;1;all;2;9; ;0.001766784;0;0;0.001862197;0.003616637;0.001838235;0;0.001730104;0.001818182;0.001697793;;
blocking probabilities per pair;1;all;8;12; ;0.003460208;0.001893939;0.001724138;0;0.003577818;0.001642036;0;0.001636661;0.00174216;0.001845018;;
blocking probabilities per pair;1;all;13;3; ;0.00170068;0.003616637;0;0.010810811;0.001745201;0;0;0;0;0.00177305;;
blocking probabilities per pair;1;all;2;3; ;0;0;0.005444646;0;0.001763668;0.001692047;0.003533569;0.001785714;0.001610306;0.005119454;;
blocking probabilities per pair;1;all;5;12; ;0;0;0.003490401;0.005033557;0.003968254;0.005434783;0;0;0.001748252;0.005366726;;
blocking probabilities per pair;1;all;13;8; ;0.001724138;0.003669725;0.003478261;0.005093379;0.003780718;0.001724138;0.003629764;0.005172414;0.005464481;0.005244755;;
blocking probabilities per pair;1;all;1;10; ;0.001862197;0;0;0.00173913;0.003533569;0;0.001733102;0.003738318;0;0.003838772;;
blocking probabilities per pair;1;all;11;9; ;0;0;0;0.001683502;0.001686341;0;0.001858736;0;0.001754386;0;;
blocking probabilities per pair;1;all;12;6; ;0;0;0;0;0.001669449;0;0;0;0;0.003546099;;
blocking probabilities per pair;1;all;7;8; ;0;0;0;0;0.001838235;0;0.001876173;0.005163511;0.001680672;0;;
blocking probabilities per pair;1;all;8;6; ;0.003623188;0.001798561;0;0.001697793;0.003484321;0.001795332;0.003663004;0.003780718;0.001893939;0;;
blocking probabilities per pair;1;all;7;11; ;0;0;0.003603604;0;0.004926108;0;0.003853565;0.001818182;0.005319149;0.001901141;;
blocking probabilities per pair;1;all;3;1; ;0.003623188;0.005395683;0.001912046;0.005565863;0.003824092;0;0.001828154;0.007952286;0;0.001754386;;
blocking probabilities per pair;1;all;4;13; ;0;0;0.001923077;0.001912046;0.001848429;0.001792115;0;0.001869159;0;0;;
blocking probabilities per pair;1;all;7;4; ;0.008291874;0;0.001727116;0.005607477;0;0.003478261;0.005172414;0.001915709;0.005235602;0;;
blocking probabilities per pair;1;all;3;7; ;0.005291005;0.005338078;0.001724138;0.003584229;0.001733102;0.005681818;0;0.003846154;0.001718213;0.001697793;;
blocking probabilities per pair;1;all;10;8; ;0;0.001862197;0;0;0;0;0.005444646;0.001795332;0;0;;
blocking probabilities per pair;1;all;9;14; ;0;0;0;0;0;0;0;0.003846154;0;0;;
blocking probabilities per pair;1;all;3;10; ;0;0.001831502;0;0.007042254;0.001855288;0;0.001757469;0.001834862;0.003724395;0.001845018;;
blocking probabilities per pair;1;all;14;3; ;0;0.001838235;0;0.005347594;0.003552398;0;0.001652893;0;0.001769912;0;;
blocking probabilities per pair;1;all;3;6; ;0.008576329;0.017985612;0.018018018;0.010600707;0.013752456;0.012773723;0.015355086;0.016949153;0.008802817;0.017452007;;
blocking probabilities per pair;1;all;9;10; ;0.001855288;0;0;0;0.001901141;0;0.00173913;0;0.001831502;0.003717472;;
blocking probabilities per pair;1;all;14;9; ;0;0.001715266;0.001675042;0.001855288;0;0;0.003252033;0;0;0;;
blocking probabilities per pair;1;all;9;13; ;0.001893939;0;0;0.001841621;0;0.001760563;0.001792115;0.00173913;0.001745201;0;;
blocking probabilities per pair;1;all;12;10; ;0.001760563;0.003584229;0;0.001883239;0.001763668;0.001795332;0;0;0.003577818;0.003448276;;
blocking probabilities per pair;1;all;12;8; ;0.001808318;0.005347594;0.001976285;0.006872852;0.007561437;0.003389831;0.003875969;0.003552398;0.005357143;0;;
blocking probabilities per pair;1;all;7;2; ;0.001923077;0.001782531;0.003759398;0.001712329;0.003430532;0.001897533;0.003891051;0.001724138;0.003636364;0.001795332;;
blocking probabilities per pair;1;all;7;13; ;0;0;0.003584229;0.007590133;0.003623188;0.003527337;0.003430532;0.003225806;0.001769912;0;;
